site,treatment,rep,species,season,devil_age,first_consumption,day_remove,visH.5,contactH.5far,cancov,first_detection,discover,sec_initiate,devil_detections,devil_foraging_photos,devil_poa,first_species,first
G,E,1,Spotted-tailed quoll,summer,NA,2/14/2023 17:22,17,43.75,7.5,19.77,101.3725,2/14/2023 17:22,0,0,0,0,Spotted-tailed quoll,1
G,E,2,Spotted-tailed quoll,summer,NA,2/18/2023 3:06,8,18.75,13,23.18,183.1080556,2/18/2023 3:06,0,0,0,0,Spotted-tailed quoll,1
G,E,2,Spotted-tailed quoll,winter,NA,8/21/2022 0:02,26,4.6875,7.5,41.52,524.9097222,8/20/2022 8:54,54450,0,0,0,Spotted-tailed quoll,1
G,E,3,Spotted-tailed quoll,winter,NA,8/4/2022 17:56,4.5,21.875,9,70.66,149.9352778,8/4/2022 17:56,0,0,0,0,Spotted-tailed quoll,1
G,E,4,Spotted-tailed quoll,summer,NA,2/17/2023 11:08,24,3.125,2,47.02,167.1402778,2/17/2023 11:08,0,0,0,0,Spotted-tailed quoll,1
G,E,4,Spotted-tailed quoll,winter,NA,8/9/2022 1:02,12.5,14.0625,4.5,47.99,253.0494444,8/9/2022 1:02,0,0,0,0,Spotted-tailed quoll,1
G,E,5,Spotted-tailed quoll,summer,NA,2/18/2023 6:13,8,35.9375,10,24.48,186.2202778,2/18/2023 6:13,0,3,468,1,Tasmanian devil,0
G,E,5,Tasmanian devil,summer,juvenile,2/18/2023 7:58,8,35.9375,10,24.48,89.85888889,2/14/2023 5:51,353206,3,468,1,Tasmanian devil,1
G,E,5,Tasmanian devil,winter,NA,8/23/2022 22:44,NA,NA,NA,NA,538.7352778,8/23/2022 22:44,0,1,22,1,Tasmanian devil,1
G,E,6,Spotted-tailed quoll,summer,NA,2/19/2023 3:09,18,57.8125,4,71.48,207.1558333,2/19/2023 3:09,0,6,0,0,Spotted-tailed quoll,1
G,S,1,Spotted-tailed quoll,summer,NA,2/12/2023 3:14,5,20.3125,11.5,31.34,39.24388889,2/12/2023 3:14,0,1,24,1,Spotted-tailed quoll,1
G,S,1,Spotted-tailed quoll,winter,NA,8/22/2022 17:29,26,7.8125,7.5,34.72,581.4858333,8/22/2022 17:29,0,0,0,0,Spotted-tailed quoll,1
G,S,1,Tasmanian devil,summer,NA,2/14/2023 9:59,5,20.3125,11.5,31.34,93.9925,2/14/2023 9:59,0,1,24,1,Spotted-tailed quoll,0
G,S,2,Spotted-tailed quoll,summer,NA,2/13/2023 10:20,5,25,8.5,22.83,70.3475,2/13/2023 10:20,0,0,0,0,Spotted-tailed quoll,1
G,S,3,Spotted-tailed quoll,summer,NA,3/7/2023 22:01,17,21.875,5,29.15,610.03,3/7/2023 22:01,0,0,0,0,Spotted-tailed quoll,1
G,S,3,Spotted-tailed quoll,winter,NA,7/31/2022 21:23,3.5,12.5,6.5,42.47,57.38916667,7/31/2022 21:23,0,0,0,0,Spotted-tailed quoll,1
G,S,4,Spotted-tailed quoll,summer,NA,2/18/2023 3:12,8,34.375,14,31.8,183.2,2/18/2023 3:12,0,0,0,0,Spotted-tailed quoll,1
G,S,4,Spotted-tailed quoll,winter,NA,8/9/2022 17:43,15.5,42.1875,8,21.96,269.7169444,8/9/2022 17:43,0,0,0,0,Spotted-tailed quoll,1
G,S,5,Spotted-tailed quoll,summer,NA,2/15/2023 11:18,11,43.75,12.5,26.13,119.3125,2/15/2023 11:18,0,7,1491,1,Spotted-tailed quoll,1
G,S,5,Tasmanian devil,summer,adult,2/17/2023 6:00,11,43.75,12.5,26.13,162.0072222,2/17/2023 6:00,0,7,1491,1,Spotted-tailed quoll,0
G,S,6,Spotted-tailed quoll,summer,NA,2/24/2023 8:14,7,6.25,8.5,22.11,332.2377778,2/24/2023 8:14,0,6,2137,1,Tasmanian devil,0
G,S,6,Tasmanian devil,summer,adult,2/16/2023 9:57,7,6.25,8.5,22.11,141.9525,2/16/2023 9:57,0,6,2137,1,Tasmanian devil,1
R,E,1,Spotted-tailed quoll,winter,NA,8/13/2022 4:41,20,25,4.5,31.58,232.6980556,8/13/2022 4:41,0,6,88,1,Tasmanian devil,0
R,E,1,Tasmanian devil,summer,juvenile,2/10/2023 5:07,8,29.6875,7,34.56,17.12222222,2/10/2023 5:07,0,22,2786,1,Tasmanian devil,1
R,E,1,Tasmanian devil,winter,adult,8/10/2022 21:57,20,25,4.5,31.58,104.9991667,8/7/2022 20:59,262643,6,88,1,Tasmanian devil,1
R,E,2,Tasmanian devil,summer,juvenile,2/14/2023 6:16,6,48.4375,8.5,39.58,112.545,2/14/2023 4:32,6234,14,328,1,Tasmanian devil,1
R,E,2,Tasmanian devil,winter,adult,8/3/2022 23:09,4,46.875,6,23.15,11.15027778,8/3/2022 23:09,0,14,80,1,Tasmanian devil,1
R,E,3,Spotted-tailed quoll,summer,NA,2/10/2023 12:46,10,25,13,27.01,24.77333333,2/10/2023 12:46,0,21,542,1,Tasmanian devil,0
R,E,3,Spotted-tailed quoll,winter,NA,8/5/2022 21:12,5,3.125,8.5,23.53,51.87611111,8/5/2022 15:52,19180,15,26,1,Tasmanian devil,0
R,E,3,Tasmanian devil,summer,juvenile,2/10/2023 7:43,10,25,13,27.01,19.72138889,2/10/2023 7:43,0,21,542,1,Tasmanian devil,1
R,E,3,Tasmanian devil,winter,adult,8/5/2022 0:07,5,3.125,8.5,23.53,35.13305556,8/4/2022 23:07,3549,15,26,1,Tasmanian devil,1
R,E,4,Spotted-tailed quoll,summer,NA,2/15/2023 9:08,8,10.9375,1.5,73.55,132.7141667,2/15/2023 0:42,30344,5,99,1,Tasmanian devil,0
R,E,4,Spotted-tailed quoll,winter,NA,8/16/2022 17:56,18.5,21.875,3.5,40.65,293.9433333,8/16/2022 17:56,0,2,0,0,Spotted-tailed quoll,1
R,E,4,Tasmanian devil,summer,NA,2/15/2023 12:23,8,10.9375,1.5,73.55,21.21472222,2/10/2023 9:12,443436,5,99,1,Tasmanian devil,1
R,E,5,Tasmanian devil,summer,juvenile,3/4/2023 18:25,25,31.25,22.5,30.37,15.98111111,2/10/2023 3:58,1952778,9,499,1,Tasmanian devil,1
R,E,6,Spotted-tailed quoll,summer,NA,2/25/2023 5:02,25,10.9375,10,29.46,377.0363889,2/25/2023 5:02,0,11,135,1,Tasmanian devil,0
R,E,6,Spotted-tailed quoll,winter,NA,8/7/2022 11:57,8,26.5625,2.5,64.48,71.96305556,8/7/2022 11:57,0,4,30,1,Spotted-tailed quoll,1
R,E,6,Tasmanian devil,summer,NA,2/28/2023 7:50,25,10.9375,10,29.46,66.00694444,2/12/2023 6:00,1389005,11,135,1,Tasmanian devil,1
R,E,6,Tasmanian devil,winter,NA,8/9/2022 0:57,8,26.5625,2.5,64.48,108.9544444,8/9/2022 0:57,0,4,30,1,Spotted-tailed quoll,0
R,S,1,Tasmanian devil,summer,adult,2/11/2023 9:38,4,42.1875,8,29.38,45.63888889,2/11/2023 9:38,0,16,600,1,Tasmanian devil,1
R,S,1,Tasmanian devil,winter,adult,8/3/2022 22:04,2,23.4375,8.5,44.56,10.07638889,8/3/2022 22:04,0,9,148,1,Tasmanian devil,1
R,S,2,Spotted-tailed quoll,summer,NA,2/11/2023 1:22,4,18.75,5,31.87,37.37388889,2/11/2023 1:22,0,12,1254,1,Spotted-tailed quoll,1
R,S,2,Tasmanian devil,summer,juvenile,2/11/2023 3:42,4,18.75,5,31.87,39.70222222,2/11/2023 3:42,0,12,1254,1,Spotted-tailed quoll,0
R,S,2,Tasmanian devil,winter,adult,8/3/2022 19:10,0.5,21.875,10.5,34.01,7.18,8/3/2022 19:10,0,9,213,1,Tasmanian devil,1
R,S,3,Spotted-tailed quoll,summer,NA,2/11/2023 8:07,6,35.9375,13.5,33.67,25.01527778,2/10/2023 13:00,68809,19,650,1,Spotted-tailed quoll,1
R,S,3,Spotted-tailed quoll,winter,NA,8/3/2022 23:49,3.5,4.6875,13,41.04,11.82333333,8/3/2022 23:49,0,13,284,1,Spotted-tailed quoll,1
R,S,3,Tasmanian devil,summer,adult,2/13/2023 8:52,6,35.9375,13.5,33.67,70.83472222,2/12/2023 10:50,79324,19,650,1,Spotted-tailed quoll,0
R,S,3,Tasmanian devil,winter,adult,8/5/2022 1:09,3.5,4.6875,13,41.04,37.16194444,8/5/2022 1:09,0,13,284,1,Spotted-tailed quoll,0
R,S,4,Spotted-tailed quoll,summer,NA,2/15/2023 0:20,6,21.875,9,33.14,132.3425,2/15/2023 0:20,0,9,1564,1,Tasmanian devil,0
R,S,4,Tasmanian devil,summer,adult,2/12/2023 9:33,6,21.875,9,33.14,69.56583333,2/12/2023 9:33,0,9,1564,1,Tasmanian devil,1
R,S,4,Tasmanian devil,winter,adult,8/11/2022 0:00,8,21.875,10.5,34.9,156.0058333,8/11/2022 0:00,0,6,327,1,Tasmanian devil,1
R,S,5,Spotted-tailed quoll,summer,NA,2/14/2023 11:59,7,0,17,22.1,119.9927778,2/14/2023 11:59,0,11,4076,1,Tasmanian devil,0
R,S,5,Spotted-tailed quoll,winter,NA,8/11/2022 18:45,10,18.75,20,44.63,174.7505556,8/11/2022 18:45,0,2,11,1,Tasmanian devil,0
R,S,5,Tasmanian devil,summer,adult,2/10/2023 9:38,7,0,17,22.1,21.63555556,2/10/2023 9:38,0,11,4076,1,Tasmanian devil,1
R,S,5,Tasmanian devil,winter,adult,8/11/2022 2:57,10,18.75,20,44.63,158.9544444,8/11/2022 2:57,0,2,11,1,Tasmanian devil,1
R,S,6,Tasmanian devil,summer,adult,2/12/2023 3:40,4,28.125,7,36.24,63.68138889,2/12/2023 3:40,0,10,2222,1,Tasmanian devil,1
T,E,1,Spotted-tailed quoll,winter,NA,8/4/2022 22:31,3.5,28.125,6.5,32.73,47.68194444,8/4/2022 11:40,39012,17,125,1,Spotted-tailed quoll,1
T,E,1,Tasmanian devil,winter,adult,8/5/2022 21:36,3.5,28.125,6.5,32.73,81.60166667,8/5/2022 21:36,0,17,125,1,Spotted-tailed quoll,0
T,E,2,Spotted-tailed quoll,summer,NA,2/12/2023 19:47,5,29.6875,14,29.28,79.79583333,2/12/2023 19:47,0,31,2244,1,Spotted-tailed quoll,1
T,E,2,Tasmanian devil,summer,juvenile,2/13/2023 0:28,5,29.6875,14,29.28,84.4675,2/13/2023 0:28,0,31,2244,1,Spotted-tailed quoll,0
T,E,2,Tasmanian devil,winter,adult,8/6/2022 0:42,9.5,21.875,23,34.71,82.785,8/5/2022 22:47,6932,2,94,1,Tasmanian devil,1
T,E,3,Tasmanian devil,summer,juvenile,2/12/2023 3:06,5,15.625,7,75.28,22.53416667,2/10/2023 10:32,146043,22,1330,1,Tasmanian devil,1
T,E,3,Tasmanian devil,winter,adult,8/23/2022 5:30,26,23.4375,3.5,72.46,83.25472222,8/5/2022 23:15,1491311,21,97,1,Tasmanian devil,1
T,E,4,Spotted-tailed quoll,summer,NA,2/12/2023 4:53,8,28.125,0,25.51,64.89833333,2/12/2023 4:53,0,13,973,1,Tasmanian devil,0
T,E,4,Spotted-tailed quoll,winter,NA,8/10/2022 2:47,7,70.3125,4,38.9,182.7877778,8/10/2022 2:47,0,8,264,1,Tasmanian devil,0
T,E,4,Tasmanian devil,summer,juvenile,2/14/2023 5:39,8,28.125,0,25.51,46.68833333,2/11/2023 10:41,241072,13,973,1,Tasmanian devil,1
T,E,4,Tasmanian devil,winter,adult,8/10/2022 5:59,7,70.3125,4,38.9,160.4063889,8/9/2022 4:24,92085,8,264,1,Tasmanian devil,1
T,E,5,Tasmanian devil,summer,juvenile,2/18/2023 9:12,9,60.9375,6,25.54,71.48166667,2/12/2023 11:28,510201,13,731,1,Tasmanian devil,1
T,E,5,Tasmanian devil,winter,adult,8/9/2022 2:37,26,35.9375,2,24.49,158.6308333,8/9/2022 2:37,0,3,25,1,Tasmanian devil,1
T,E,6,Tasmanian devil,summer,juvenile,2/28/2023 5:41,20,62.5,8,72.85,22.10166667,2/10/2023 10:06,1539349,9,97,1,Tasmanian devil,1
T,E,6,Tasmanian devil,winter,adult,8/18/2022 4:03,26,34.375,10,36.39,376.0566667,8/18/2022 4:03,0,2,32,1,Tasmanian devil,1
T,S,1,Tasmanian devil,winter,adult,8/5/2022 19:15,8,17.1875,3,37.29,79.26638889,8/5/2022 19:15,0,12,45,1,Tasmanian devil,1
T,S,2,Tasmanian devil,summer,juvenile,2/11/2023 9:51,4,18.75,17.5,26.42,45.8575,2/11/2023 9:51,0,22,4953,1,Tasmanian devil,1
T,S,2,Tasmanian devil,winter,adult,8/10/2022 6:18,13.5,15.625,19.5,39.24,186.3002778,8/10/2022 6:18,0,10,80,1,Tasmanian devil,1
T,S,3,Tasmanian devil,summer,juvenile,2/10/2023 4:24,2,29.6875,6,29.21,16.41444444,2/10/2023 4:24,0,9,6520,1,Tasmanian devil,1
T,S,3,Tasmanian devil,winter,adult,8/4/2022 5:29,2.5,43.75,6,34.35,41.48361111,8/4/2022 5:29,0,11,14,1,Tasmanian devil,1
T,S,4,Tasmanian devil,summer,adult,2/11/2023 6:58,2,14.0625,15,33.83,42.97333333,2/11/2023 6:58,0,5,1132,1,Tasmanian devil,1
T,S,5,Spotted-tailed quoll,summer,NA,2/10/2023 18:17,3,48.4375,2,75.79,30.29777778,2/10/2023 18:17,0,12,959,1,Spotted-tailed quoll,1
T,S,5,Tasmanian devil,summer,adult,2/12/2023 3:51,3,48.4375,2,75.79,30.32166667,2/10/2023 18:19,120705,12,959,1,Spotted-tailed quoll,0
T,S,6,Tasmanian devil,summer,NA,2/15/2023 6:50,19,60.9375,6.5,27.83,138.8494444,2/15/2023 6:50,0,5,35,1,Tasmanian devil,1
T,S,6,Tasmanian devil,winter,adult,8/26/2022 3:31,25,45.3125,9,27.97,567.5305556,8/26/2022 3:31,0,3,86,1,Tasmanian devil,1
